year,marks_min,marks_max,rank_min,rank_max,rank_median,candidate_count,percentile,data_granularity,extraction_method,source_id,confidence,notes
2020,688,692,224,235,229,2,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 2 candidates in band 688-692
2020,678,682,537,666,551,5,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 5 candidates in band 678-682
2020,668,672,1060,1399,1222,8,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 8 candidates in band 668-672
2020,658,662,1926,2527,2153,16,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 16 candidates in band 658-662
2020,648,652,3371,4264,3789,23,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 23 candidates in band 648-652
2020,638,642,5379,6423,5943,34,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 34 candidates in band 638-642
2020,628,632,7779,9227,8432,38,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 38 candidates in band 628-632
2020,618,622,10817,12308,11555,35,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 35 candidates in band 618-622
2020,608,612,14535,16484,15395,64,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 64 candidates in band 608-612
2020,598,602,18689,21036,20080,69,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 69 candidates in band 598-602
2020,588,592,23555,26097,24595,77,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 77 candidates in band 588-592
2020,578,582,28914,31582,30171,105,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 105 candidates in band 578-582
2020,568,572,34535,37480,36059,122,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 122 candidates in band 568-572
2020,558,562,40517,43841,41983,124,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 124 candidates in band 558-562
2020,548,552,47172,50642,48825,148,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 148 candidates in band 548-552
2020,538,542,54217,57618,55935,146,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 146 candidates in band 538-542
2020,528,532,61287,64961,62997,156,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 156 candidates in band 528-532
2020,518,522,68676,72445,70394,165,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 165 candidates in band 518-522
2020,508,512,76371,80421,78104,189,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 189 candidates in band 508-512
2020,498,502,84528,88608,86655,197,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 197 candidates in band 498-502
2020,478,482,101535,105915,103852,210,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 210 candidates in band 478-482
2020,458,462,119820,124503,122169,230,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 230 candidates in band 458-462
2020,438,442,139438,144537,141997,269,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 269 candidates in band 438-442
2020,418,422,160215,165521,162915,292,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 292 candidates in band 418-422
2020,398,402,182726,188473,185664,285,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 285 candidates in band 398-402
2020,378,382,206493,212511,209184,279,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 279 candidates in band 378-382
2020,358,362,231720,238208,234970,272,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 272 candidates in band 358-362
2020,338,342,258453,265364,261830,298,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 298 candidates in band 338-342
2020,318,322,287614,295219,291488,275,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 275 candidates in band 318-322
2020,298,302,319457,327569,323617,297,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 297 candidates in band 298-302
2020,278,282,353308,362103,357353,305,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 305 candidates in band 278-282
2020,258,262,389494,399119,394410,307,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 307 candidates in band 258-262
2020,238,242,429268,439822,434685,321,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 321 candidates in band 238-242
2020,218,222,472593,484042,478373,316,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 316 candidates in band 218-222
2020,198,202,519915,532494,525982,339,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 339 candidates in band 198-202
2020,178,182,571993,585847,578917,334,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 334 candidates in band 178-182
2020,158,162,630306,645933,638708,334,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 334 candidates in band 158-162
2020,138,142,696807,714650,706204,265,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 265 candidates in band 138-142
2020,118,122,774342,795755,785606,273,,range,kea_eligible_list,53,high,From KEA UGNEET 2020 verified eligible list; 273 candidates in band 118-122
