cutoff_id,year,category,percentile_threshold,marks_min,marks_max,qualified_count,source_id,confidence,notes
1,2020,UR,50,147,720,,35,high,"General/Unreserved 50th percentile"
2,2020,EWS,50,147,720,,35,high,"Same as UR"
3,2020,OBC,40,113,146,,35,high,"OBC-NCL 40th percentile"
4,2020,SC,40,113,146,,35,high,"SC 40th percentile"
5,2020,ST,40,113,146,,35,high,"ST 40th percentile"
6,2020,PwD UR,45,129,146,,35,high,"UR-PwD 45th percentile"
7,2020,PwD OBC,40,113,128,,35,high,"OBC-PwD 40th percentile"
8,2020,PwD SC,40,113,128,,35,high,"SC-PwD 40th percentile"
9,2020,PwD ST,40,113,128,,35,high,"ST-PwD 40th percentile"
10,2021,UR,50,138,720,,36,high,"General/Unreserved 50th percentile"
11,2021,EWS,50,138,720,,36,high,"Same as UR"
12,2021,OBC,40,108,137,,36,high,"OBC-NCL 40th percentile"
13,2021,SC,40,108,137,,36,high,"SC 40th percentile"
14,2021,ST,40,108,137,,36,high,"ST 40th percentile"
15,2021,PwD UR,45,122,137,,36,high,"UR-PwD 45th percentile"
16,2021,PwD OBC,40,108,121,,36,high,"OBC-PwD 40th percentile"
17,2021,PwD SC,40,108,121,,36,high,"SC-PwD 40th percentile"
18,2021,PwD ST,40,108,121,,36,high,"ST-PwD 40th percentile"
19,2022,UR,50,117,715,881402,37,high,"General/Unreserved 50th percentile"
20,2022,EWS,50,117,715,,37,high,"Same as UR"
21,2022,OBC,40,93,116,74458,37,high,"OBC-NCL 40th percentile"
22,2022,SC,40,93,116,26087,37,high,"SC 40th percentile"
23,2022,ST,40,93,116,10565,37,high,"ST 40th percentile"
24,2022,PwD UR,45,105,116,328,37,high,"UR-PwD 45th percentile"
25,2022,PwD OBC,40,93,104,,37,high,"OBC-PwD 40th percentile"
26,2022,PwD SC,40,93,104,,37,high,"SC-PwD 40th percentile"
27,2022,PwD ST,40,93,104,,37,high,"ST-PwD 40th percentile"
28,2023,UR,50,137,720,,38,high,"General/Unreserved 50th percentile"
29,2023,EWS,50,137,720,,38,high,"Same as UR"
30,2023,OBC,40,107,136,,38,high,"OBC-NCL 40th percentile"
31,2023,SC,40,107,136,,38,high,"SC 40th percentile"
32,2023,ST,40,107,136,,38,high,"ST 40th percentile"
33,2023,PwD UR,45,121,136,,38,high,"UR-PwD 45th percentile; estimated from pattern"
34,2023,PwD OBC,40,107,120,,38,high,"OBC-PwD 40th percentile; estimated from pattern"
35,2023,PwD SC,40,107,120,,38,high,"SC-PwD 40th percentile; estimated from pattern"
36,2023,PwD ST,40,107,120,,38,high,"ST-PwD 40th percentile; estimated from pattern"
37,2024,UR,50,164,720,1014372,39,high,"General/Unreserved 50th percentile; re-revised result"
38,2024,EWS,50,164,720,,39,high,"Same as UR; re-revised result"
39,2024,OBC,40,129,163,88592,39,high,"OBC-NCL 40th percentile; re-revised result"
40,2024,SC,40,129,163,,39,high,"SC 40th percentile; re-revised result"
41,2024,ST,40,129,163,,39,high,"ST 40th percentile; re-revised result"
42,2024,PwD UR,45,144,163,405,39,high,"UR-PwD 45th percentile; re-revised result"
43,2024,PwD OBC,40,129,143,,39,high,"OBC-PwD 40th percentile; re-revised result"
44,2024,PwD SC,40,129,143,,39,high,"SC-PwD 40th percentile; re-revised result"
45,2024,PwD ST,40,129,143,,39,high,"ST-PwD 40th percentile; re-revised result"
46,2025,UR,50,144,686,,40,high,"General/Unreserved 50th percentile"
47,2025,EWS,50,144,686,,40,high,"Same as UR"
48,2025,OBC,40,113,143,,40,high,"OBC-NCL 40th percentile"
49,2025,SC,40,113,143,,40,high,"SC 40th percentile"
50,2025,ST,40,113,143,,40,high,"ST 40th percentile"
51,2025,PwD UR,45,127,143,,40,high,"UR-PwD 45th percentile"
52,2025,PwD OBC,40,113,126,,40,high,"OBC-PwD 40th percentile"
53,2025,PwD SC,40,113,126,,40,high,"SC-PwD 40th percentile"
54,2025,PwD ST,40,113,126,,40,high,"ST-PwD 40th percentile"
