alias_id,college_id,alias_name,alias_normalized,authority,year,source_id,notes
1,833,JIPMER PUDUCHERRY,jipmer puducherry,MCC,,,
2,23,"AIIMS, Bhubaneswar",aiims,MCC,,,
3,23,"AIIMS, Jodhpur",aiims,MCC,,,
4,23,"AIIMS, Raipur",aiims,MCC,,,
5,830,JIPMER KARAIKAL,jipmer karaikal,MCC,,,
6,24,AIIMS Bathinda,aiims bathinda,MCC,,,
7,26,"AIIMS-Bhopal,",aiims bhopal,MCC,,,
8,23,"AIIMS, Patna",aiims,MCC,,,
9,23,"AIIMS, Nagpur",aiims,MCC,,,
10,23,"AIIMS, Rishikesh",aiims,MCC,,,
11,794,"INST.OF MED.SCIENCES, BHU,VARANASI",instituteof medicalsciences bhu,MCC,,,
12,23,"AIIMS, Gorakhpur",aiims,MCC,,,
13,23,"AIIMS, Kalyani",aiims,MCC,,,
14,60,AIIMS Telangana Bibi Nagar Village Rangapur Mandal Name Bibinagar,aiims telangana bibi nagar village rangapur mandal name bibinagar,MCC,,,
15,1372,"University College of Medical Sciences, New Delhi",university college of medical sciences,MCC,,,
16,31,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh",aiims bilaspur changar palasiyan,MCC,,,
17,846,"JWAHAR LAL NEHRU M.C. AMU, ALIGARH",jwahar lal nehru m c amu,MCC,,,
18,55,AIIMS Rajkot,aiims rajkot,MCC,,,
19,47,AIIMS Mangalagiri,aiims mangalagiri,MCC,,,
20,1385,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",vardhman mahavir medical college and safdarjung hospital new delhi,MCC,,,
21,23,"AIIMS, Rai Bareli",aiims,MCC,,,
22,915,"Lady Hardinge Medical College, New Delhi",lady hardinge medical college,MCC,,,
23,23,"AIIMS, Deogarh",aiims,MCC,,,
24,41,AIIMS Jammu,aiims jammu,MCC,,,
25,37,AIIMS Guahawti,aiims guahawti,MCC,,,
26,85,"Atal Bihari Vajpayee Institute of Medical Sciences, New Delhi",atal bihari vajpayee institute of medical sciences,MCC,,,
