college_id,college_code,college_name,name_normalized,state,city,ownership,counselling,courses,annual_intake,fee_govt_quota,fee_private,nmc_approved,source_id,notes
1,,"A.J. Institute of Dental Sciences,NH-66,Kuntikana,Mangalore",a j institute of dental sciences nh 66 kuntikana,Karnataka,,government,KEA,,,,,1,,auto-generated from allotment data; needs manual review
2,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",a j institute of medical sciences nh 66 kuntikana,Karnataka,,government,KEA,,,141446.0,1092852.0,1,,auto-generated from allotment data; needs manual review
3,,"Aarupadai Veedu Medical College and Hospt., Puducherry",aarupadai veedu medical college and hospt,Puducherry,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
4,,"Aarupadai Veedu Medical College and Hospt., Puducherry,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, 607402",aarupadai veedu medical college and hospt puducherry pondy cuddalore main road kirumampakkam bahour commune panchayat puducherry,Puducherry,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
5,,"Aarupadai Veedu Medical College and Hospt., Puducherry,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, PUDUCHERRY, Puducherry, 607403",aarupadai veedu medical college and hospt puducherry pondy cuddalore main road kirumampakkam puducherry puducherry,Puducherry,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
6,,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",ab shetty memorial institute of dental sce,Unknown,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
7,,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru,Dakshina Kannada District , Post Deralakatte, Mangaluru, Karnataka, 575018",ab shetty memorial institute of dental sce mangaluru dakshina kannada district post deralakatte mangaluru karnataka,Karnataka,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
8,,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru,Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",ab shetty memorial institute of dental sce mangaluru deralakatte mangaluru dakshina kannada karnataka,Karnataka,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
9,,"Academy of Medical Education Dental College,Near Government Polytechnic,Bijanagere Road,Raichur",academy of medical education dental college near government polytechnic bijanagere road,Karnataka,,government,KEA,,,,,1,,auto-generated from allotment data; needs manual review
10,,"ACS Medical College and Hospital, Chennai",acs medical college and hospital,Tamil Nadu,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
11,,"ACS Medical College and Hospital, Chennai,Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",acs medical college and hospital chennai periyar evr high raod velappanchavadi chennai 77 tamil nadu,Tamil Nadu,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
12,,"ACSR Govt Medical College, Nellore",acsr government medical college,Unknown,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
13,,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",acsr government medical college nellore opp to ac subba reddy stadium dargamitta nellore spsr nellore district andhra pradesh,Andhra Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
14,,"ACSR Govt Medical College, Nellore,OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH, Andhra Pradesh, 524004",acsr government medical college nellore opp to ac subba reddy stadium dargamitta nellore spsr nellore district andhra pradesh andhra pradesh,Andhra Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
15,,"Adichunchanagiri Institute of Medical Sciences,B.G Nagar,,Bellur, Mandya Dist.",adichunchanagiri institute of medical sciences b g nagar bellur mandya district,Karnataka,,government,KEA,,,,,1,,auto-generated from allotment data; needs manual review
16,,"Adichunchanagiri Institute of Medical Sciences,B.G Nagar,Nagamangal Tq,Bellur, Mandya Dist.",adichunchanagiri institute of medical sciences b g nagar nagamangal tq bellur mandya district,Karnataka,,government,KEA,,,144496.0,2015750.0,1,,auto-generated from allotment data; needs manual review
17,,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL",agartala government dental college,Tripura,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
18,,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",agartala government dental college agartal igm hospital complex agartala west tripura pin tripura,Tripura,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
19,,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA",agartala government medical college,Tripura,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
20,,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL A , Kunjaban, Agartala, Tripura West, Tripura, 799006",agartala government medical college agartal a kunjaban agartala tripura west tripura,Tripura,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
21,,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjab an, Agartala, Tripura West, Tripura, 799006",agartala government medical college agartala kunjab an agartala tripura west tripura,Tripura,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
22,,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",agartala government medical college agartala kunjaban agartala tripura west tripura,Tripura,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
23,,"AIIMS, Bhubaneswar",aiims,Odisha,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
24,,AIIMS Bathinda,aiims bathinda,Unknown,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
25,,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",aiims bathinda jodhpur romana near giani zail singh college mandi dabwali road bathinda punjab,Punjab,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
26,,"AIIMS-Bhopal,",aiims bhopal,Madhya Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
27,,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",aiims bhopal saket nagar bhopal madhya pradesh,Madhya Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
28,,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019, Odisha, 751019",aiims bhubaneswar at sijua post dumuduma bhubaneswar odisha,Odisha,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
29,,"AIIMS, Bibi Nagar, Hyderabad",aiims bibi nagar,Telangana,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
30,,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",aiims bibi nagar hyderabad aiims bibinagar hyderabad metropolitan region telangana telangana,Telangana,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
31,,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh",aiims bilaspur changar palasiyan,Himachal Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
32,,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",aiims bilaspur changar palasiyan himachal pradesh all india institute of medical sciences aiims bilaspur kothipura bilaspur himachal pradesh himachal pradesh,Himachal Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
