college_code,college_name,category,neet_marks,neet_rank,fee
1,Bangalore Medical College,SCG,553,46566,500
1,Bangalore Medical College,SCR,523,66681,500
1,Bangalore Medical College,SCG,562,41110,500
1,Bangalore Medical College,STG,607,17595,500
1,Bangalore Medical College,SCG,583,29422,500
1,Bangalore Medical College,PH,235,453839,59850
1,Bangalore Medical College,PH,390,191013,59850
1,Bangalore Medical College,SCG,580,31218,59850
1,Bangalore Medical College,SCG,582,29886,500
1,Bangalore Medical College,SCG,560,42651,500
1,Bangalore Medical College,2AH,608,17489,59850
1,Bangalore Medical College,1R,607,17803,59850
1,Bangalore Medical College,PH,299,322818,59850
1,Bangalore Medical College,PH,224,478607,59850
1,Bangalore Medical College,AGL,219,490729,59850
1,Bangalore Medical College,PH,216,499168,59850
1,Bangalore Medical College,3AR,626,10388,59850
1,Bangalore Medical College,GMR,630,9312,59850
1,Bangalore Medical College,GM,665,2154,59850
1,Bangalore Medical College,3BG,640,6699,59850
1,Bangalore Medical College,SCH,530,62190,500
1,Bangalore Medical College,GM,670,1453,59850
1,Bangalore Medical College,GM,670,1601,59850
1,Bangalore Medical College,GM,670,1656,59850
1,Bangalore Medical College,GM,670,1676,59850
1,Bangalore Medical College,GM,666,1922,59850
1,Bangalore Medical College,GM,665,2190,59850
1,Bangalore Medical College,GM,665,2217,59850
1,Bangalore Medical College,GM,651,4140,59850
1,Bangalore Medical College,GM,650,4489,59850
1,Bangalore Medical College,GM,655,3608,59850
1,Bangalore Medical College,GM,655,3631,59850
1,Bangalore Medical College,GM,650,4257,59850
1,Bangalore Medical College,GM,652,3955,59850
1,Bangalore Medical College,GM,655,3666,59850
1,Bangalore Medical College,GM,650,4366,59850
1,Bangalore Medical College,GM,650,4382,59850
1,Bangalore Medical College,GM,650,4663,59850
1,Bangalore Medical College,GM,650,4387,59850
1,Bangalore Medical College,GM,654,3807,59850
1,Bangalore Medical College,GM,655,3541,59850
1,Bangalore Medical College,GM,660,2930,59850
1,Bangalore Medical College,GM,660,2634,59850
1,Bangalore Medical College,GM,664,2344,59850
1,Bangalore Medical College,GM,656,3303,59850
1,Bangalore Medical College,GM,663,2403,59850
1,Bangalore Medical College,GM,660,2710,59850
1,Bangalore Medical College,GM,662,2422,59850
1,Bangalore Medical College,GM,658,3058,59850
1,Bangalore Medical College,GM,662,2444,59850
1,Bangalore Medical College,GM,660,2753,59850
1,Bangalore Medical College,GM,658,3071,59850
1,Bangalore Medical College,GM,660,2769,59850
1,Bangalore Medical College,GM,655,3430,59850
1,Bangalore Medical College,GM,657,3105,59850
1,Bangalore Medical College,GM,655,3439,59850
1,Bangalore Medical College,GM,661,2497,59850
1,Bangalore Medical College,GM,657,3126,59850
1,Bangalore Medical College,GM,657,3139,59850
1,Bangalore Medical College,GM,661,2525,59850
1,Bangalore Medical College,GM,660,2845,59850
1,Bangalore Medical College,GM,660,2854,59850
1,Bangalore Medical College,GM,655,3497,59850
1,Bangalore Medical College,GM,655,3513,59850
1,Bangalore Medical College,GM,655,3526,59850
1,Bangalore Medical College,GM,660,2889,59850
1,Bangalore Medical College,3BG,640,6924,59850
1,Bangalore Medical College,2AG,641,6326,59850
1,Bangalore Medical College,GMR,641,6335,59850
1,Bangalore Medical College,GMR,641,6389,59850
1,Bangalore Medical College,2AG,642,6096,59850
1,Bangalore Medical College,3BG,640,6776,59850
1,Bangalore Medical College,3AG,641,6182,59850
1,Bangalore Medical College,GMR,640,6531,59850
1,Bangalore Medical College,GMR,640,6861,59850
1,Bangalore Medical College,SCG,551,48323,500
1,Bangalore Medical College,PH,352,239151,59850
1,Bangalore Medical College,SCH,520,69448,500
1,Bangalore Medical College,STG,583,29225,500
1,Bangalore Medical College,SCG,568,37662,500
1,Bangalore Medical College,SCR,535,58669,500
1,Bangalore Medical College,STG,553,47016,500
1,Bangalore Medical College,PH,325,279645,59850
1,Bangalore Medical College,STG,565,39326,500
1,Bangalore Medical College,SCR,527,63875,500
1,Bangalore Medical College,SCG,556,44688,500
1,Bangalore Medical College,STG,588,26473,500
1,Bangalore Medical College,2AG,644,5740,59850
1,Bangalore Medical College,3AG,646,5108,59850
1,Bangalore Medical College,GM,648,4822,59850
1,Bangalore Medical College,GM,648,4840,59850
1,Bangalore Medical College,GMH,648,4877,59850
1,Bangalore Medical College,3AG,646,5212,59850
1,Bangalore Medical College,GMH,645,5549,59850
1,Bangalore Medical College,3BG,647,4930,59850
1,Bangalore Medical College,GMH,647,4939,59850
1,Bangalore Medical College,3AG,645,5561,59850
1,Bangalore Medical College,3AG,645,5611,59850
1,Bangalore Medical College,2AG,643,5942,59850
1,Bangalore Medical College,3BG,645,5343,59850
1,Bangalore Medical College,2AG,631,9069,59850
1,Bangalore Medical College,GMR,629,9692,59850
1,Bangalore Medical College,2AK,600,21036,59850
1,Bangalore Medical College,1G,631,8803,59850
1,Bangalore Medical College,2AG,631,8827,59850
1,Bangalore Medical College,GMR,631,9029,59850
1,Bangalore Medical College,GMR,630,9350,59850
1,Bangalore Medical College,2AG,632,8733,59850
1,Bangalore Medical College,2AG,635,7849,59850
1,Bangalore Medical College,3BG,637,7248,59850
1,Bangalore Medical College,3BG,637,7252,59850
1,Bangalore Medical College,GMR,635,8187,59850
1,Bangalore Medical College,3BH,635,7885,59850
1,Bangalore Medical College,2AG,637,7285,59850
1,Bangalore Medical College,2AG,636,7595,59850
1,Bangalore Medical College,2AG,636,7600,59850
1,Bangalore Medical College,2AG,636,7608,59850
1,Bangalore Medical College,2AG,637,7316,59850
1,Bangalore Medical College,GMR,635,7979,59850
1,Bangalore Medical College,2AG,635,8070,59850
1,Bangalore Medical College,SCG,601,20259,59850
1,Bangalore Medical College,SCG,575,33513,500
1,Bangalore Medical College,GMK,623,11603,59850
1,Bangalore Medical College,2AR,623,11630,59850
1,Bangalore Medical College,2BG,625,11031,59850
1,Bangalore Medical College,GMK,622,11955,59850
1,Bangalore Medical College,1G,624,11420,500
1,Bangalore Medical College,2AH,622,11787,59850
1,Bangalore Medical College,3BR,628,9994,59850
1,Bangalore Medical College,GMRH,626,10636,500
1,Bangalore Medical College,2AG,629,9734,59850
1,Bangalore Medical College,2AG,626,10393,59850
