year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,fee,status,source_id
2023,MOPUP,KEA,STATE_KA,14759,14759,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,27
2023,MOPUP,KEA,STATE_KA,23058,23058,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,23608,23608,AIR,,"St John Medical College,Bangalore",MBBS,OPN,,777135,Allotted,27
2023,MOPUP,KEA,STATE_KA,23705,23705,AIR,,"St John Medical College,Bangalore",MBBS,OPN,,777135,Allotted,27
2023,MOPUP,KEA,STATE_KA,24324,24324,AIR,,"Kempegowda Institute of Medical Sciences,B.S.K II Stage,Near B D A Complex,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,24391,24391,AIR,,"Kempegowda Institute of Medical Sciences,B.S.K II Stage,Near B D A Complex,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,24445,24445,AIR,,"Kempegowda Institute of Medical Sciences,B.S.K II Stage,Near B D A Complex,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,24856,24856,AIR,,"Kempegowda Institute of Medical Sciences,B.S.K II Stage,Near B D A Complex,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,25385,25385,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,25710,25710,AIR,,"Mysore Medical College,Irwin Road,Mysore",MBBS,GM,,60100,Allotted,27
2023,MOPUP,KEA,STATE_KA,25854,25854,AIR,,"Kempegowda Institute of Medical Sciences,B.S.K II Stage,Near B D A Complex,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,26444,26444,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,26498,26498,AIR,,"Sri Madhusudan Sai Institute of Medical Sciences and Research,Muddenahalli,CHIKKABALLAPURA (5 year Bond ,Conditions Apply.)",MBBS,OPN,,750,Allotted,27
2023,MOPUP,KEA,STATE_KA,26753,26753,AIR,,"Sri Madhusudan Sai Institute of Medical Sciences and Research,Muddenahalli,CHIKKABALLAPURA (5 year Bond ,Conditions Apply.)",MBBS,OPN,,750,Allotted,27
2023,MOPUP,KEA,STATE_KA,26858,26858,AIR,,"Kempegowda Institute of Medical Sciences,B.S.K II Stage,Near B D A Complex,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,26870,26870,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,27148,27148,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,27325,27325,AIR,,"Dr. B.R. Ambedkar Medical College,Kadugondanahalli,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,27621,27621,AIR,,"Dr. B.R. Ambedkar Medical College,Kadugondanahalli,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,27840,27840,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,27874,27874,AIR,,"Dr. B.R. Ambedkar Medical College,Kadugondanahalli,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,28024,28024,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,28065,28065,AIR,,"Adichunchanagiri Institute of Medical Sciences,B.G Nagar,Nagamangal Tq,Bellur, Mandya Dist.",MBBS,OTH,,3215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,28356,28356,AIR,,"Father Muller Institute of Med. Education & Research,Father Muller Road,Kankanady,Mangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,28834,28834,AIR,,"BGS Global Institute of Medical Sciences,# 67, BGS Health & Education,City, Uttarahalli Main Road,Kengeri, Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,29064,29064,AIR,,"BGS Global Institute of Medical Sciences,# 67, BGS Health & Education,City, Uttarahalli Main Road,Kengeri, Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,29382,29382,AIR,,"Dr. B.R. Ambedkar Medical College,Kadugondanahalli,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,29864,29864,AIR,,"Dr. B.R. Ambedkar Medical College,Kadugondanahalli,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,29953,29953,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,30251,30251,AIR,,"Dr. B.R. Ambedkar Medical College,Kadugondanahalli,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,30634,30634,AIR,,"BGS Global Institute of Medical Sciences,# 67, BGS Health & Education,City, Uttarahalli Main Road,Kengeri, Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,31242,31242,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,31525,31525,AIR,,"Akash Institute of Medical Sciences and Research Centre,DEVANAHALLI,NEAR BANGALORE INTERNATIONAL,BANGALORE",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,31698,31698,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,31814,31814,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,31843,31843,AIR,,"Father Muller Institute of Med. Education & Research,Father Muller Road,Kankanady,Mangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,31961,31961,AIR,,"Akash Institute of Medical Sciences and Research Centre,DEVANAHALLI,NEAR BANGALORE INTERNATIONAL,BANGALORE",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,32255,32255,AIR,,"BGS Global Institute of Medical Sciences,# 67, BGS Health & Education,City, Uttarahalli Main Road,Kengeri, Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,32530,32530,AIR,,"BGS Global Institute of Medical Sciences,# 67, BGS Health & Education,City, Uttarahalli Main Road,Kengeri, Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,32737,32737,AIR,,"Father Muller Institute of Med. Education & Research,Father Muller Road,Kankanady,Mangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,32984,32984,AIR,,"BGS Global Institute of Medical Sciences,# 67, BGS Health & Education,City, Uttarahalli Main Road,Kengeri, Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,34075,34075,AIR,,"Father Muller Institute of Med. Education & Research,Father Muller Road,Kankanady,Mangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,34076,34076,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,34251,34251,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,34653,34653,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,35312,35312,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,35386,35386,AIR,,"Akash Institute of Medical Sciences and Research Centre,DEVANAHALLI,NEAR BANGALORE INTERNATIONAL,BANGALORE",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,35433,35433,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,35535,35535,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,35602,35602,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,35932,35932,AIR,,"Jaya Jagadguru Murugharajendra Medical College,Davangere,Davangere District",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,36212,36212,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,36521,36521,AIR,,"M.V.J.Medical College and Research Hospital,NH-4, Dandupalya, Kolathur -,Post, Hoskote,Channasandra, Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,36657,36657,AIR,,"M.V.J.Medical College and Research Hospital,NH-4, Dandupalya, Kolathur -,Post, Hoskote,Channasandra, Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,36830,36830,AIR,,"M.V.J.Medical College and Research Hospital,NH-4, Dandupalya, Kolathur -,Post, Hoskote,Channasandra, Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,36953,36953,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,37011,37011,AIR,,"Jaya Jagadguru Murugharajendra Medical College,Davangere,Davangere District",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,37076,37076,AIR,,"Jaya Jagadguru Murugharajendra Medical College,Davangere,Davangere District",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,37318,37318,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,37577,37577,AIR,,"M.V.J.Medical College and Research Hospital,NH-4, Dandupalya, Kolathur -,Post, Hoskote,Channasandra, Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,38512,38512,AIR,,"Jaya Jagadguru Murugharajendra Medical College,Davangere,Davangere District",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,39130,39130,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,NRI,,4012700,Allotted,27
2023,MOPUP,KEA,STATE_KA,39239,39239,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,39442,39442,AIR,,"Jaya Jagadguru Murugharajendra Medical College,Davangere,Davangere District",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,40847,40847,AIR,,"M.V.J.Medical College and Research Hospital,NH-4, Dandupalya, Kolathur -,Post, Hoskote,Channasandra, Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,42080,42080,AIR,,"East Point College of Medical Sciences and Research Center,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,42195,42195,AIR,,"East Point College of Medical Sciences and Research Center,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,42528,42528,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,43086,43086,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,43789,43789,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,NRI,,4012700,Allotted,27
2023,MOPUP,KEA,STATE_KA,44087,44087,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,NRI,,4012700,Allotted,27
2023,MOPUP,KEA,STATE_KA,44270,44270,AIR,,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Jnanashankara, NH-4,Bypass Road,Davangere",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,44549,44549,AIR,,"The Oxford Medical College Hospital and Research Center,Yadavanahalli, Attibele Hobli,Anekal Taluk,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,44697,44697,AIR,,"Mahadevappa Rampure Medical College,Mahadevappa Rampure Marg,Sedam Road,Kalaburgi",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,44885,44885,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,44902,44902,AIR,,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Jnanashankara, NH-4,Bypass Road,Davangere",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,45274,45274,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,46213,46213,AIR,,"East Point College of Medical Sciences and Research Center,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,46460,46460,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,NRI,,4012700,Allotted,27
2023,MOPUP,KEA,STATE_KA,46908,46908,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,47128,47128,AIR,,"The Oxford Medical College Hospital and Research Center,Yadavanahalli, Attibele Hobli,Anekal Taluk,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,47431,47431,AIR,,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Jnanashankara, NH-4,Bypass Road,Davangere",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,47987,47987,AIR,,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Jnanashankara, NH-4,Bypass Road,Davangere",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,48048,48048,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,48503,48503,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,NRI,,4012700,Allotted,27
2023,MOPUP,KEA,STATE_KA,49078,49078,AIR,,"Mahadevappa Rampure Medical College,Mahadevappa Rampure Marg,Sedam Road,Kalaburgi",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,50993,50993,AIR,,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Jnanashankara, NH-4,Bypass Road,Davangere",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,51152,51152,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,51680,51680,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,51820,51820,AIR,,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Jnanashankara, NH-4,Bypass Road,Davangere",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,51851,51851,AIR,,"Yenepoya Medical College,University Road, Nithyanandar,Deralakatte,Mangalore",MBBS,GM,,204496,Allotted,27
2023,MOPUP,KEA,STATE_KA,52398,52398,AIR,,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Jnanashankara, NH-4,Bypass Road,Davangere",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,52482,52482,AIR,,"East Point College of Medical Sciences and Research Center,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,52597,52597,AIR,,"East Point College of Medical Sciences and Research Center,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,52612,52612,AIR,,"East Point College of Medical Sciences and Research Center,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,52636,52636,AIR,,"The Oxford Medical College Hospital and Research Center,Yadavanahalli, Attibele Hobli,Anekal Taluk,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,53047,53047,AIR,,"The Oxford Medical College Hospital and Research Center,Yadavanahalli, Attibele Hobli,Anekal Taluk,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,53179,53179,AIR,,"Mahadevappa Rampure Medical College,Mahadevappa Rampure Marg,Sedam Road,Kalaburgi",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,53445,53445,AIR,,"East Point College of Medical Sciences and Research Center,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,53619,53619,AIR,,"The Oxford Medical College Hospital and Research Center,Yadavanahalli, Attibele Hobli,Anekal Taluk,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,54209,54209,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,54297,54297,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,54463,54463,AIR,,"The Oxford Medical College Hospital and Research Center,Yadavanahalli, Attibele Hobli,Anekal Taluk,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,54793,54793,AIR,,"Sri Basaveshwara Medical College and Hospital,NH-4, S.J.M.I.T Campus,Chitradurga",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,54804,54804,AIR,,"Kanachur Institute of Medical Sciences and Research Centre,UNIVERSITY ROAD,NATEKAL POST,MANGALORE",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,55117,55117,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,27
2023,MOPUP,KEA,STATE_KA,56059,56059,AIR,,"East Point College of Medical Sciences and Research Center,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,56510,56510,AIR,,"East Point College of Medical Sciences and Research Center,Bangalore",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,56781,56781,AIR,,"S. Nijalingappa Medical College and Research Centre,Navanagara,Bagalkot",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,57186,57186,AIR,,"Sri Basaveshwara Medical College and Hospital,NH-4, S.J.M.I.T Campus,Chitradurga",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,57221,57221,AIR,,"Mahadevappa Rampure Medical College,Mahadevappa Rampure Marg,Sedam Road,Kalaburgi",MBBS,OPN,,1092852,Allotted,27
2023,MOPUP,KEA,STATE_KA,57305,57305,AIR,,"East Point College of Medical Sciences and Research Center,Bangalore",MBBS,OPN,,1092852,Allotted,27
