year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,status,source_id
2023,R1,KEA,STATE_KA,41535,41535,AIR,,"Government Dental College,Victoria Hospital Premises,Fort,Bangalore",BDS,GM,,Allotted,28
2023,R1,KEA,STATE_KA,59900,59900,AIR,,"Sri Dharmasthala Manjunatheswara Dental College,Dhavalanagar, Sattur,Dharwad",BDS,OPN,,Allotted,28
2023,R1,KEA,STATE_KA,65963,65963,AIR,,"Dayananda Sagar College of Dental Sciences,Shavige Malleshwara Hills,Kumarswamy Layout,Bangalore",BDS,OPN,,Allotted,28
2023,R1,KEA,STATE_KA,71259,71259,AIR,,"Government Dental College,Victoria Hospital Premises,Fort,Bangalore",BDS,GM,,Allotted,28
2023,R1,KEA,STATE_KA,73749,73749,AIR,,"Government Dental College,Victoria Hospital Premises,Fort,Bangalore",BDS,GM,,Allotted,28
2023,R1,KEA,STATE_KA,74600,74600,AIR,,"Government Dental College,Victoria Hospital Premises,Fort,Bangalore",BDS,GM,,Allotted,28
2023,R1,KEA,STATE_KA,75006,75006,AIR,,"Government Dental College,Victoria Hospital Premises,Fort,Bangalore",BDS,GM,,Allotted,28
2023,R1,KEA,STATE_KA,75229,75229,AIR,,"Government Dental College,Victoria Hospital Premises,Fort,Bangalore",BDS,GM,,Allotted,28
2023,R1,KEA,STATE_KA,75509,75509,AIR,,"Government Dental College,Victoria Hospital Premises,Fort,Bangalore",BDS,GM,,Allotted,28
2023,R1,KEA,STATE_KA,75538,75538,AIR,,"Government Dental College,Victoria Hospital Premises,Fort,Bangalore",BDS,GM,,Allotted,28
2023,R1,KEA,STATE_KA,76105,76105,AIR,,"Government Dental College,Victoria Hospital Premises,Fort,Bangalore",BDS,GM,,Allotted,28
2023,R1,KEA,STATE_KA,76632,76632,AIR,,"Government Dental College,Victoria Hospital Premises,Fort,Bangalore",BDS,GM,,Allotted,28
2023,R1,KEA,STATE_KA,76659,76659,AIR,,"A.J. Institute of Dental Sciences,NH-66,Kuntikana,Mangalore",BDS,GM,,Allotted,28
2023,R1,KEA,STATE_KA,77161,77161,AIR,,"Government Dental College,Victoria Hospital Premises,Fort,Bangalore",BDS,GM,,Allotted,28
2023,R1,KEA,STATE_KA,77188,77188,AIR,,"Government Dental College,Victoria Hospital Premises,Fort,Bangalore",BDS,GM,,Allotted,28
