year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,fee,status,source_id
2023,R2,KEA,STATE_KA,326,326,AIR,,"Kasturba Medical College,PB No -53, Light House Hill Road,Hampanakatta,Mangalore.",MBBS,GM,,144496,Allotted,29
2023,R2,KEA,STATE_KA,360,360,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,604,604,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,659,659,AIR,,"S. Nijalingappa Medical College and Research Centre,Navanagara,Bagalkot",MBBS,GM,,141446,Allotted,29
2023,R2,KEA,STATE_KA,686,686,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,802,802,AIR,,"Karnataka Institute of Medical Sciences,Vidyanagar,Hubli",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,908,908,AIR,,"Karnataka Institute of Medical Sciences,Vidyanagar,Hubli",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,934,934,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1006,1006,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1156,1156,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1356,1356,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1367,1367,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1384,1384,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1439,1439,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1445,1445,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1449,1449,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1523,1523,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1534,1534,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1535,1535,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1555,1555,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1602,1602,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1648,1648,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1687,1687,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1720,1720,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1725,1725,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1746,1746,AIR,,"Karnataka Institute of Medical Sciences,Vidyanagar,Hubli",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1774,1774,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1782,1782,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1786,1786,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1789,1789,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1880,1880,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1891,1891,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1900,1900,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1932,1932,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1940,1940,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,1977,1977,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2004,2004,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2038,2038,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2222,2222,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2251,2251,AIR,,"Kasturba Medical College,PB No -53, Light House Hill Road,Hampanakatta,Mangalore.",MBBS,GM,,144496,Allotted,29
2023,R2,KEA,STATE_KA,2334,2334,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2368,2368,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2379,2379,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2545,2545,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2585,2585,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2664,2664,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2691,2691,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2718,2718,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2724,2724,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2772,2772,AIR,,"Kasturba Medical College,PB No -53, Light House Hill Road,Hampanakatta,Mangalore.",MBBS,GM,,144496,Allotted,29
2023,R2,KEA,STATE_KA,2778,2778,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2806,2806,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,2852,2852,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,29
