year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,fee,status,source_id
2023,STRAY,KEA,STATE_KA,52353,52353,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,72687,72687,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,81346,81346,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,85150,85150,AIR,,"Bangalore Medical College,NO-2, Fort , K R ROAD,Bangalore",MBBS,GM,,60100,Allotted,30
2023,STRAY,KEA,STATE_KA,87129,87129,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,87271,87271,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,89203,89203,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,90176,90176,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,91012,91012,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,92865,92865,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,93052,93052,AIR,,"Shridevi Institute of Medical Sciences and Research Hospital,Sira Road,Tumkur",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,94328,94328,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,94507,94507,AIR,,"Akash Institute of Medical Sciences and Research Centre,DEVANAHALLI,NEAR BANGALORE INTERNATIONAL,BANGALORE",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,95601,95601,AIR,,"The Oxford Medical College Hospital and Research Center,Yadavanahalli, Attibele Hobli,Anekal Taluk,Bangalore",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,95832,95832,AIR,,"Father Muller Institute of Med. Education & Research,Father Muller Road,Kankanady,Mangalore",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,96111,96111,AIR,,"K.Venkataramana Gowda Medical College and Hospital,Kurunjibag,Sullia,Dakshina Kannada",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,98611,98611,AIR,,"K.Venkataramana Gowda Medical College and Hospital,Kurunjibag,Sullia,Dakshina Kannada",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,98643,98643,AIR,,"Kanachur Institute of Medical Sciences and Research Centre,UNIVERSITY ROAD,NATEKAL POST,MANGALORE",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,98954,98954,AIR,,"K.Venkataramana Gowda Medical College and Hospital,Kurunjibag,Sullia,Dakshina Kannada",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,99689,99689,AIR,,"Kanachur Institute of Medical Sciences and Research Centre,UNIVERSITY ROAD,NATEKAL POST,MANGALORE",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,100297,100297,AIR,,"Kanachur Institute of Medical Sciences and Research Centre,UNIVERSITY ROAD,NATEKAL POST,MANGALORE",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,103468,103468,AIR,,"Kanachur Institute of Medical Sciences and Research Centre,UNIVERSITY ROAD,NATEKAL POST,MANGALORE",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,105910,105910,AIR,,"Kanachur Institute of Medical Sciences and Research Centre,UNIVERSITY ROAD,NATEKAL POST,MANGALORE",MBBS,OPN,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,114221,114221,AIR,,"Shridevi Institute of Medical Sciences and Research Hospital,Sira Road,Tumkur",MBBS,GMPH,,1092852,Allotted,30
2023,STRAY,KEA,STATE_KA,117857,117857,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,30
2023,STRAY,KEA,STATE_KA,136161,136161,AIR,,"Khaja Bande Navaz Institute Of Medical Sciences,Rouza Buzurq,Gulbarga",MBBS,OPN,,1630715,Allotted,30
2023,STRAY,KEA,STATE_KA,136456,136456,AIR,,"Adichunchanagiri Institute of Medical Sciences,B.G Nagar,Nagamangal Tq,Bellur, Mandya Dist.",MBBS,OPN,,2015750,Allotted,30
2023,STRAY,KEA,STATE_KA,141153,141153,AIR,,"Sapthagiri Institute of Medical Sciences,No.15, chikkasandra,Hesaraghatta main,Bangalore",MBBS,OPN,,2212700,Allotted,30
2023,STRAY,KEA,STATE_KA,158518,158518,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,30
2023,STRAY,KEA,STATE_KA,161034,161034,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,30
2023,STRAY,KEA,STATE_KA,162958,162958,AIR,,"Khaja Bande Navaz Institute Of Medical Sciences,Rouza Buzurq,Gulbarga",MBBS,OPN,,1630715,Allotted,30
2023,STRAY,KEA,STATE_KA,163267,163267,AIR,,"The Oxford Medical College Hospital and Research Center,Yadavanahalli, Attibele Hobli,Anekal Taluk,Bangalore",MBBS,OTH,,3012700,Allotted,30
2023,STRAY,KEA,STATE_KA,165399,165399,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,30
2023,STRAY,KEA,STATE_KA,166168,166168,AIR,,"Dr. Chandramma Dayananda Sagar Institute of Medical Education,Harohalli hobli, Kanakapura Rd",MBBS,GMP,,2015750,Allotted,30
2023,STRAY,KEA,STATE_KA,173987,173987,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,30
2023,STRAY,KEA,STATE_KA,178329,178329,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,30
2023,STRAY,KEA,STATE_KA,180570,180570,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,30
2023,STRAY,KEA,STATE_KA,186038,186038,AIR,,"Sapthagiri Institute of Medical Sciences,No.15, chikkasandra,Hesaraghatta main,Bangalore",MBBS,OPN,,2212700,Allotted,30
2023,STRAY,KEA,STATE_KA,198878,198878,AIR,,"Dr. B.R. Ambedkar Medical College,Kadugondanahalli,Bangalore",MBBS,OTH,,3512700,Allotted,30
2023,STRAY,KEA,STATE_KA,199953,199953,AIR,,"Sapthagiri Institute of Medical Sciences,No.15, chikkasandra,Hesaraghatta main,Bangalore",MBBS,OPN,,2212700,Allotted,30
2023,STRAY,KEA,STATE_KA,210887,210887,AIR,,"Kempegowda Institute of Medical Sciences,B.S.K II Stage,Near B D A Complex,Bangalore",MBBS,OTH,,4012700,Allotted,30
2023,STRAY,KEA,STATE_KA,213590,213590,AIR,,"Navodaya Medical College,PB No.26, Navodaya Nagar,Mantralyam Road,Raichur",MBBS,OTH,,3012700,Allotted,30
2023,STRAY,KEA,STATE_KA,256418,256418,AIR,,"SRI CHAMUNDESHWARI MEDICAL COLLEGE, HOSPITAL AND RESEARCH INST,CHANNAPATNA, RAMANAGARA",MBBS,OTH,,2412700,Allotted,30
2023,STRAY,KEA,STATE_KA,268250,268250,AIR,,"SRI CHAMUNDESHWARI MEDICAL COLLEGE, HOSPITAL AND RESEARCH INST,CHANNAPATNA, RAMANAGARA",MBBS,OTH,,2412700,Allotted,30
2023,STRAY,KEA,STATE_KA,273048,273048,AIR,,"SRI CHAMUNDESHWARI MEDICAL COLLEGE, HOSPITAL AND RESEARCH INST,CHANNAPATNA, RAMANAGARA",MBBS,OTH,,2412700,Allotted,30
2023,STRAY,KEA,STATE_KA,282337,282337,AIR,,"Mahadevappa Rampure Medical College,Mahadevappa Rampure Marg,Sedam Road,Kalaburgi",MBBS,OTH,,3512700,Allotted,30
2023,STRAY,KEA,STATE_KA,296286,296286,AIR,,"Navodaya Medical College,PB No.26, Navodaya Nagar,Mantralyam Road,Raichur",MBBS,OTH,,3012700,Allotted,30
2023,STRAY,KEA,STATE_KA,300216,300216,AIR,,"K.Venkataramana Gowda Medical College and Hospital,Kurunjibag,Sullia,Dakshina Kannada",MBBS,OTH,,2512700,Allotted,30
2023,STRAY,KEA,STATE_KA,310508,310508,AIR,,"East Point College of Medical Sciences and Research Center,Bangalore",MBBS,OTH,,3012700,Allotted,30
2023,STRAY,KEA,STATE_KA,312050,312050,AIR,,"Kanachur Institute of Medical Sciences and Research Centre,UNIVERSITY ROAD,NATEKAL POST,MANGALORE",MBBS,OTH,,2812700,Allotted,30
2023,STRAY,KEA,STATE_KA,325995,325995,AIR,,"The Oxford Medical College Hospital and Research Center,Yadavanahalli, Attibele Hobli,Anekal Taluk,Bangalore",MBBS,OTH,,3012700,Allotted,30
