year,round,college_code,college_name,course,seat_type,category,closing_rank
2023,R2,M051,,MBBS-GOVT.,GOVT,GM,9340
2023,R2,M001,,MBBS-GOVT.,GOVT,GM,3508
2023,R2,M035,,MBBS-GOVT.,GOVT,GM,67570
2023,R2,M031,,MBBS-GOVT.,GOVT,GM,13106
2023,R2,M037,,MBBS-GOVT.,GOVT,GM,20670
2023,R2,M082,,MBBS-GOVT.,GOVT,GM,8537
2023,R2,M004,,MBBS-GOVT.,GOVT,GM,14612
2023,R2,M001,,MBBS-GOVT.,GOVT,3AG,5673
2023,R2,M001,,MBBS-GOVT.,GOVT,GMH,5871
2023,R2,M011,,MBBS-PRIV.,PRIV,OPN,14160
2023,R2,M001,,MBBS-GOVT.,GOVT,2AG,9801
2023,R2,M021,,MBBS-GOVT.,GOVT,GM,8243
2023,R2,M044,,MBBS-GOVT.,GOVT,GM,42977
2023,R2,M025,,MBBS-GOVT.,GOVT,GM,24513
2023,R2,M001,,MBBS-GOVT.,GOVT,GMR,8224
2023,R2,M001,,MBBS-GOVT.,GOVT,2BG,7894
2023,R2,M001,,MBBS-GOVT.,GOVT,3BG,6011
2023,R2,M066,,MBBS-GOVT.,GOVT,GM,14609
2023,R2,M001,,MBBS-GOVT.,GOVT,GMK,12228
2023,R2,M001,,MBBS-GOVT.,GOVT,1G,13166
2023,R2,M001,,MBBS-GOVT.,GOVT,XD,7280
2023,R2,M072,,MBBS-GOVT.,GOVT,GM,27228
2023,R2,M001,,MBBS-GOVT.,GOVT,GMRH,8266
2023,R2,M021,,MBBS-GOVT.,GOVT,3AG,12077
2023,R2,M021,,MBBS-GOVT.,GOVT,3BG,10261
2023,R2,M001,,MBBS-GOVT.,GOVT,2BH,8313
2023,R2,M021,,MBBS-GOVT.,GOVT,2BG,13215
2023,R2,M003,,MBBS-GOVT.,GOVT,GM,22975
2023,R2,M001,,MBBS-GOVT.,GOVT,3AR,8584
2023,R2,M021,,MBBS-GOVT.,GOVT,GMH,9053
2023,R2,M001,,MBBS-GOVT.,GOVT,2BR,8693
2023,R2,M082,,MBBS-GOVT.,GOVT,GMH,11578
2023,R2,M041,,MBBS-GOVT.,GOVT,GM,21389
2023,R2,M082,,MBBS-GOVT.,GOVT,2BG,15256
2023,R2,M021,,MBBS-GOVT.,GOVT,2AG,15793
2023,R2,M001,,MBBS-GOVT.,GOVT,2AH,9893
2023,R2,M001,,MBBS-GOVT.,GOVT,3BR,9886
2023,R2,M024,,MBBS-GOVT.,GOVT,GM,19359
2023,R2,M082,,MBBS-GOVT.,GOVT,3AG,11592
2023,R2,M061,,MBBS-GOVT.,GOVT,GM,46910
2023,R2,M021,,MBBS-GOVT.,GOVT,GMR,13788
2023,R2,M082,,MBBS-GOVT.,GOVT,3BG,12295
2023,R2,M093,,MBBS-GOVT.,GOVT,GM,68774
2023,R2,M022,,MBBS-GOVT.,GOVT,GM,15215
2023,R2,M050,,MBBS-GOVT.,GOVT,GM,27785
2023,R2,M001,,MBBS-GOVT.,GOVT,2AR,14839
2023,R2,M001,,MBBS-GOVT.,GOVT,STG,37474
2023,R2,M063,,MBBS-GOVT.,GOVT,GM,24671
