college_code,course,fee
M051,MBBS-GOVT.,144496
M001,MBBS-GOVT.,60100
M035,MBBS-GOVT.,141446
M031,MBBS-GOVT.,60100
M037,MBBS-GOVT.,60100
M082,MBBS-GOVT.,60100
M004,MBBS-GOVT.,141446
M011,MBBS-PRIV.,777135
M021,MBBS-GOVT.,60100
M044,MBBS-GOVT.,60100
M025,MBBS-GOVT.,60100
M066,MBBS-GOVT.,110100
M072,MBBS-GOVT.,60100
M003,MBBS-GOVT.,141446
M041,MBBS-GOVT.,60100
M024,MBBS-GOVT.,60100
M061,MBBS-GOVT.,141446
M093,MBBS-GOVT.,750
M022,MBBS-GOVT.,144496
M050,MBBS-GOVT.,141446
M063,MBBS-GOVT.,60100
M009,MBBS-GOVT.,141446
M002,MBBS-PRIV.,1092852
M003,MBBS-PRIV.,1092852
M053,MBBS-GOVT.,144496
M009,MBBS-PRIV.,1092852
M074,MBBS-GOVT.,60100
M036,MBBS-GOVT.,144496
M068,MBBS-GOVT.,141446
M093,MBBS-PRIV.,750
M002,MBBS-GOVT.,141446
M077,MBBS-GOVT.,60100
M084,MBBS-GOVT.,60100
M070,MBBS-GOVT.,110100
M075,MBBS-GOVT.,60100
M068,MBBS-PRIV.,1092852
M004,MBBS-PRIV.,2215750
M042,MBBS-PRIV.,1092852
M045,MBBS-GOVT.,60100
M050,MBBS-PRIV.,1092852
M032,MBBS-GOVT.,324996
M023,MBBS-GOVT.,144496
M061,MBBS-PRIV.,1092852
M076,MBBS-GOVT.,60100
M035,MBBS-PRIV.,1092852
M008,MBBS-PRIV.,1092852
M064,MBBS-GOVT.,141446
M079,MBBS-PRIV.,1092852
M085,MBBS-GOVT.,60100
M073,MBBS-GOVT.,60100
M010,MBBS-GOVT.,141446
M010,MBBS-PRIV.,1092852
M071,MBBS-PRIV.,1092852
M054,MBBS-PRIV.,1092852
M083,MBBS-GOVT.,144496
M052,MBBS-GOVT.,204496
M081,MBBS-GOVT.,141446
M067,MBBS-GOVT.,141446
M078,MBBS-PRIV.,1092852
M081,MBBS-PRIV.,1092852
M092,MBBS-GOVT.,60100
M008,MBBS-GOVT.,141446
M062,MBBS-PRIV.,1092852
M065,MBBS-PRIV.,1092852
M086,MBBS-GOVT.,60100
M087,MBBS-GOVT.,60100
M069,MBBS-PRIV.,1092852
M062,MBBS-GOVT.,141446
M042,MBBS-GOVT.,141446
M020,MBBS-PRIV.,1092852
M020,MBBS-GOVT.,141446
M090,MBBS-PRIV.,1092852
M033,MBBS-PRIV.,1092852
M090,MBBS-GOVT.,141446
M071,MBBS-GOVT.,141446
M033,MBBS-GOVT.,141446
M054,MBBS-GOVT.,141446
M043,MBBS-GOVT.,141446
M065,MBBS-GOVT.,141446
M067,MBBS-PRIV.,1092852
M079,MBBS-GOVT.,141446
M043,MBBS-PRIV.,1092852
M078,MBBS-GOVT.,141446
M064,MBBS-PRIV.,2212700
M091,MBBS-PRIV.,1092852
M069,MBBS-GOVT.,141446
M091,MBBS-GOVT.,141446
M023,MBBS-PRIV.,2015750
M089,MBBS-GOVT.,641728
M005,MBBS-GOVT.,144496
M005,MBBS-PRIV.,1630715
M036,MBBS-PRIV.,2015750
M083,MBBS-PRIV.,2015750
