year,round,college_code,college_name,course,seat_type,category,closing_rank
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,1G,13570
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,1R,22972
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AG,10817
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AK,13073
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AR,12248
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2BG,5571
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2BR,16557
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3AG,3314
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3AR,8136
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3BG,5241
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3BR,8501
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GM,2154
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GMK,11699
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GMR,7322
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCG,33701
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCK,62944
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCR,46786
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,STG,27080
2024,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,STR,49284
2024,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,1G,60701
2024,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2AG,68325
2024,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2AR,74171
2024,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2BG,41941
2024,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,3AG,43402
2024,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,3BG,48623
2024,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,GM,39727
2024,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,GMK,81774
2024,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,GMR,64184
2024,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,SCG,169862
2024,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,SCR,198995
2024,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,STG,164818
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,1G,47447
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2AG,50231
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2AK,86650
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2AR,55591
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2BG,25081
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,3AG,19094
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,3BG,36201
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,GM,15053
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,GMK,76476
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,GMR,42292
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,SCG,116580
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,SCK,222622
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,SCR,134835
2024,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,STG,132104
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,1G,47177
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2AG,43536
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2AK,72342
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2AR,54025
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2BG,21534
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,3AG,17950
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,3BG,22964
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,3BK,72457
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,3BR,44774
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,GM,13265
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,GMK,58232
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,GMR,35226
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,SCG,96128
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,SCK,207999
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,SCR,147551
2024,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,STG,115648
2024,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,1G,88343
2024,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,2AK,106194
2024,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,2BG,71572
2024,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,3BG,69391
2024,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,GM,67052
2024,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,SCG,208828
2024,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,STG,173937
2024,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,1G,76515
2024,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,2AG,78239
2024,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,2BG,73471
2024,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,3AG,56639
2024,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,3BG,64369
2024,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,GM,51792
2024,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,GMK,93881
2024,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,GMR,65652
2024,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,SCG,191596
2024,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,STG,172484
2024,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,STR,179742
2024,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,1G,53717
2024,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,1K,107184
2024,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,2AG,68007
2024,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,2AR,75404
