year,college_code,college_name,discipline,course,seat_type,fee_per_annum
2021,M001,"Bangalore Medical College,Bangalore",MEDICAL,MBBS,GOVT,59850
2021,M002,"Dr. B.R. Ambedkar Medical College,Bangalore",MEDICAL,MBBS,GOVT,141196
2021,M002,"Dr. B.R. Ambedkar Medical College,Bangalore",MEDICAL,MBBS,PRIV,994406
2021,M002,"Dr. B.R. Ambedkar Medical College,Bangalore",MEDICAL,MBBS,NRI,3687450
2021,M002,"Dr. B.R. Ambedkar Medical College,Bangalore",MEDICAL,MBBS,OTHERS,3687450
2021,M003,"Kempegowda Institute of Medical Sciences,Bangalore",MEDICAL,MBBS,GOVT,141196
2021,M003,"Kempegowda Institute of Medical Sciences,Bangalore",MEDICAL,MBBS,PRIV,994406
2021,M003,"Kempegowda Institute of Medical Sciences,Bangalore",MEDICAL,MBBS,NRI,3612450
2021,M003,"Kempegowda Institute of Medical Sciences,Bangalore",MEDICAL,MBBS,OTHERS,3612450
2021,M004,"M.S.Ramaiah Medical College,Bangalore",MEDICAL,MBBS,GOVT,141196
2021,M004,"M.S.Ramaiah Medical College,Bangalore",MEDICAL,MBBS,PRIV,994406
2021,M004,"M.S.Ramaiah Medical College,Bangalore",MEDICAL,MBBS,NRI,4012450
2021,M004,"M.S.Ramaiah Medical College,Bangalore",MEDICAL,MBBS,OTHERS,4012450
2021,M005,"Khaja Bande Navaz Institute Of Medical Sciences,Gulbarga",MEDICAL,MBBS,GOVT,144246
2021,M005,"Khaja Bande Navaz Institute Of Medical Sciences,Gulbarga",MEDICAL,MBBS,PRIV,1630465
2021,M005,"Khaja Bande Navaz Institute Of Medical Sciences,Gulbarga",MEDICAL,MBBS,NRI,3215500
2021,M005,"Khaja Bande Navaz Institute Of Medical Sciences,Gulbarga",MEDICAL,MBBS,OTHERS,3215500
2021,M008,"M.V.J.Medical College and Research Hospital,Channasandra, Bangalore",MEDICAL,MBBS,GOVT,141196
2021,M008,"M.V.J.Medical College and Research Hospital,Channasandra, Bangalore",MEDICAL,MBBS,PRIV,994406
2021,M008,"M.V.J.Medical College and Research Hospital,Channasandra, Bangalore",MEDICAL,MBBS,NRI,3412450
2021,M008,"M.V.J.Medical College and Research Hospital,Channasandra, Bangalore",MEDICAL,MBBS,OTHERS,3412450
2021,M009,"Vydehi Institute of Medical Science and Research Centre,Bangalore",MEDICAL,MBBS,GOVT,141196
2021,M009,"Vydehi Institute of Medical Science and Research Centre,Bangalore",MEDICAL,MBBS,PRIV,994406
2021,M009,"Vydehi Institute of Medical Science and Research Centre,Bangalore",MEDICAL,MBBS,NRI,3912450
2021,M009,"Vydehi Institute of Medical Science and Research Centre,Bangalore",MEDICAL,MBBS,OTHERS,3912450
2021,M010,"A.J.Institute of Medical Sciences,Mangalore",MEDICAL,MBBS,GOVT,141196
2021,M010,"A.J.Institute of Medical Sciences,Mangalore",MEDICAL,MBBS,PRIV,994406
2021,M010,"A.J.Institute of Medical Sciences,Mangalore",MEDICAL,MBBS,NRI,4012450
2021,M010,"A.J.Institute of Medical Sciences,Mangalore",MEDICAL,MBBS,OTHERS,4012450
2021,M011,"St John Medical College,Bangalore",MEDICAL,MBBS,PRIV,686380
2021,M020,"Sri Basaveshwara Medical College and Hospital,Chitradurga",MEDICAL,MBBS,GOVT,141196
2021,M020,"Sri Basaveshwara Medical College and Hospital,Chitradurga",MEDICAL,MBBS,PRIV,994406
2021,M020,"Sri Basaveshwara Medical College and Hospital,Chitradurga",MEDICAL,MBBS,NRI,4012450
2021,M020,"Sri Basaveshwara Medical College and Hospital,Chitradurga",MEDICAL,MBBS,OTHERS,4012450
2021,M021,"Mysore Medical College,Mysore",MEDICAL,MBBS,GOVT,59850
2021,M022,"Jagadguru Sri Shivarathreeswara Medical College,Mysore",MEDICAL,MBBS,GOVT,144246
2021,M023,"Adichunchanagiri Institute of Medical Sciences,Bellur, Mandya Dist.",MEDICAL,MBBS,GOVT,144246
2021,M023,"Adichunchanagiri Institute of Medical Sciences,Bellur, Mandya Dist.",MEDICAL,MBBS,PRIV,1815500
2021,M023,"Adichunchanagiri Institute of Medical Sciences,Bellur, Mandya Dist.",MEDICAL,MBBS,NRI,3412450
2021,M023,"Adichunchanagiri Institute of Medical Sciences,Bellur, Mandya Dist.",MEDICAL,MBBS,OTHERS,3412450
2021,M024,"Mandya Institute of Medical Sciences,Mandya",MEDICAL,MBBS,GOVT,59850
2021,M025,"Hassan Institute of Medical Sciences,Hassan",MEDICAL,MBBS,GOVT,59850
