year,round,college_code,college_name,seat_type,category,seats
2022,R1,M001,"BMC, Bangalore",GOVT,1G,6
2022,R1,M001,"BMC, Bangalore",GOVT,1R,1
2022,R1,M001,"BMC, Bangalore",GOVT,2AG,22
2022,R1,M001,"BMC, Bangalore",GOVT,2AK,1
2022,R1,M001,"BMC, Bangalore",GOVT,2AR,4
2022,R1,M001,"BMC, Bangalore",GOVT,2BG,6
2022,R1,M001,"BMC, Bangalore",GOVT,2BR,1
2022,R1,M001,"BMC, Bangalore",GOVT,3AG,7
2022,R1,M001,"BMC, Bangalore",GOVT,3AR,1
2022,R1,M001,"BMC, Bangalore",GOVT,3BG,9
2022,R1,M001,"BMC, Bangalore",GOVT,3BR,1
2022,R1,M001,"BMC, Bangalore",GOVT,GM,75
2022,R1,M001,"BMC, Bangalore",GOVT,GMK,4
2022,R1,M001,"BMC, Bangalore",GOVT,GMR,13
2022,R1,M001,"BMC, Bangalore",GOVT,SCG,22
2022,R1,M001,"BMC, Bangalore",GOVT,SCK,1
2022,R1,M001,"BMC, Bangalore",GOVT,SCR,4
2022,R1,M001,"BMC, Bangalore",GOVT,STG,6
2022,R1,M001,"BMC, Bangalore",GOVT,TOTAL,184
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,1G,1
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,2AG,4
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,2AK,1
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,2BG,2
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,3AG,1
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,3BG,1
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,3BR,1
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,GM,13
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,GMK,1
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,GMR,3
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,SCG,4
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,SCK,1
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,STG,1
2022,R1,M002,"Dr.AMC, Bangalore",GOVT,TOTAL,34
2022,R1,M003,"KIMS, Bangalore",GOVT,1G,2
2022,R1,M003,"KIMS, Bangalore",GOVT,2AG,7
2022,R1,M003,"KIMS, Bangalore",GOVT,2AR,2
2022,R1,M003,"KIMS, Bangalore",GOVT,2BG,2
2022,R1,M003,"KIMS, Bangalore",GOVT,3AG,2
2022,R1,M003,"KIMS, Bangalore",GOVT,3BG,2
2022,R1,M003,"KIMS, Bangalore",GOVT,GM,19
2022,R1,M003,"KIMS, Bangalore",GOVT,GMK,2
2022,R1,M003,"KIMS, Bangalore",GOVT,GMR,4
2022,R1,M003,"KIMS, Bangalore",GOVT,SCG,6
2022,R1,M003,"KIMS, Bangalore",GOVT,SCR,2
2022,R1,M003,"KIMS, Bangalore",GOVT,STG,1
2022,R1,M003,"KIMS, Bangalore",GOVT,TOTAL,51
2022,R1,M004,"MSRMC, Bangalore",GOVT,1G,2
