year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,status,source_id
2022,MOPUP,MCC,AIQ,19919,19919,AIR,Open Seat Quota,"Faculty of Dentistry, Jamia Millia Islamia, New Delhi,Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,23274,23274,AIR,Open Seat Quota,"IMS BHU Dental, Varanasi,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 221105",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,23284,23284,AIR,Open Seat Quota,"IMS BHU Dental, Varanasi,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 221105",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,23381,23381,AIR,All India,"FACULTY OF DEN SCI, KG MED UNIV,LUCKNOW,SHAHMINA ROAD, CHOWK,LUCKNOW, Uttar Pradesh, 226003",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,23612,23612,AIR,All India,"GOVT. DENTAL COLLEGE & HOSP,AHMEDABAD,NEW CIVIL HOSPITAL CAMPUS, ASARWA, AHMEDABAD, Gujarat, 380016",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,23818,23818,AIR,Open Seat Quota,"Dr. Ziauddin Ahmed Dental College and Hospital,ALIGARH,ALIGARH MUSLIM UNIVERSITY, ALIGARH, Uttar Pradesh, 202002",BDS,Open,EWS,Allotted,7
2022,MOPUP,MCC,AIQ,23996,23996,AIR,All India,"GOVT. DENTAL COLLEGE, KOZIKODE,MEDICAL COLLEGE CAMPUS, MEDICAL COLLEGE P.O., KOZHIKODE, Kerala, 673008",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,24046,24046,AIR,All India,"DR. R. AHMED DENT.COLL & HOSP,KOLKATA,114 AJC BOSE ROAD",BDS,Open,EWS,Allotted,7
2022,MOPUP,MCC,AIQ,24154,24154,AIR,Open Seat Quota,"IMS BHU Dental, Varanasi,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 221105",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,24942,24942,AIR,Open Seat Quota,"Dr. Ziauddin Ahmed Dental College and Hospital,ALIGARH,ALIGARH MUSLIM UNIVERSITY, ALIGARH, Uttar Pradesh, 202002",BDS,Open,EWS,Allotted,7
2022,MOPUP,MCC,AIQ,25172,25172,AIR,Delhi University Quota,"Maulana Azad Institute of Dental Sciences, New Delhi,MAMC Complex, B.S. Zafar Marg, New Delhi, Delhi (NCT), 110002",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,25206,25206,AIR,Open Seat Quota,"Faculty of Dentistry, Jamia Millia Islamia, New Delhi,Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,26013,26013,AIR,Open Seat Quota,"Faculty of Dentistry, Jamia Millia Islamia, New Delhi,Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,26583,26583,AIR,All India,"NORTH BENGAL DENT.COLL,SUSHRUTNAGAR,P.O SHUSHRUTA NAGAR, DIST. DARJEELING,",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,27129,27129,AIR,Open Seat Quota,"IMS BHU Dental, Varanasi,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 221105",BDS,EWS,EWS,Allotted,7
2022,MOPUP,MCC,AIQ,31217,31217,AIR,All India,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN. PURBA BARDHAMAN. W.B- 713101",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,31682,31682,AIR,All India,"FACULTY OF DEN SCI, KG MED UNIV,LUCKNOW,SHAHMINA ROAD, CHOWK,LUCKNOW, Uttar Pradesh, 226003",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,33901,33901,AIR,Delhi University Quota,"Maulana Azad Institute of Dental Sciences, New Delhi,MAMC Complex, B.S. Zafar Marg, New Delhi, Delhi (NCT), 110002",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,35224,35224,AIR,Open Seat Quota,"Faculty of Dentistry, Jamia Millia Islamia, New Delhi,Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,35805,35805,AIR,Open Seat Quota,"IMS BHU Dental, Varanasi,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 221105",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,35872,35872,AIR,All India,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN. PURBA BARDHAMAN. W.B- 713101",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,36283,36283,AIR,IP University Quota,"ESIC Dental College and Hospital,ESIC Hospital, Sector 15, Rohini, Delhi (NCT), 110089",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,37164,37164,AIR,All India,"GOVT DEN COLL DENTAL WING PATIALA,Govt.Dental College and Hospital,Patiala, Punjab, 147001",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,38146,38146,AIR,All India,"GOVT. DENTAL COLLEGE & HOSP,AHMEDABAD,NEW CIVIL HOSPITAL CAMPUS, ASARWA, AHMEDABAD, Gujarat, 380016",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,38360,38360,AIR,IP University Quota,"ESIC Dental College and Hospital,ESIC Hospital, Sector 15, Rohini, Delhi (NCT), 110089",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,38494,38494,AIR,Muslim OBC Quota,"Faculty of Dentistry, Jamia Millia Islamia, New Delhi,Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,38706,38706,AIR,All India,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN. PURBA BARDHAMAN. W.B- 713101",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,39574,39574,AIR,All India,"GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK,Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,40979,40979,AIR,All India,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN. PURBA BARDHAMAN. W.B- 713101",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,41868,41868,AIR,All India,"ESIC Dental College and Hospital,ESIC Hospital, Sector 15, Rohini, Delhi (NCT), 110089",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,42481,42481,AIR,All India,"Dental Institue, RIMS, Ranchi,Dental College, Rajendra Institute of Medical Sciences, Bariatu, Ranchi, Jharkhand, 843009",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,43244,43244,AIR,All India,"NAIR HOSP DENTAL COLLEGE & HOSP,MUMBAI,Dr. A.L. Nair Road, Mumbai Central, Mumbai - 400 008, Maharashtra, 400008",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,43757,43757,AIR,All India,"RUHS College of Dental Science, Jaipur,Ruhs College of dental science , johtwara road jaipur, Rajasthan, 302016",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,45158,45158,AIR,All India,"Dental Institue, RIMS, Ranchi,Dental College, Rajendra Institute of Medical Sciences, Bariatu, Ranchi, Jharkhand, 843009",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,45440,45440,AIR,All India,"Rajah Muthiah Dental College and Hos. , Annamalai ,GOVT DENTAL COLLEGE AND HOSPITAL, CUDDALORE DT- ERSTWHILE RAJAH MUTHIAH DENTAL COLLEGE AND HOSPITAL, Tamil Nadu, 608002",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,45839,45839,AIR,All India,"GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK,Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,46073,46073,AIR,All India,"Government Dental College Hyderabad,GOVERNMENT DENTAL COLLEGE AND HOSPITAL, AFZALGUNJ, HYDERABAD - 500012, Telangana, 500012",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,46302,46302,AIR,All India,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN. PURBA BARDHAMAN. W.B- 713101",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,46379,46379,AIR,All India,"GOVT. DENTAL COLLEGE, RAIPUR,Near Marahi Mata Mandir, Rajbandha Maidan, Raipur (C.G.), Chhattisgarh, 492001",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,46727,46727,AIR,All India,"RUHS College of Dental Science, Jaipur,Ruhs College of dental science , johtwara road jaipur, Rajasthan, 302016",BDS,Open,EWS,Allotted,7
2022,MOPUP,MCC,AIQ,47491,47491,AIR,All India,"NAIR HOSP DENTAL COLLEGE & HOSP,MUMBAI,Dr. A.L. Nair Road, Mumbai Central, Mumbai - 400 008, Maharashtra, 400008",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,47730,47730,AIR,All India,"GOVT. COLLEGE OF DENTISTRY, INDORE,1 Sardar Patel Marg Indore",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,48782,48782,AIR,All India,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN. PURBA BARDHAMAN. W.B- 713101",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,49441,49441,AIR,All India,"RUHS College of Dental Science, Jaipur,Ruhs College of dental science , johtwara road jaipur, Rajasthan, 302016",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,49596,49596,AIR,All India,"Dental Institue, RIMS, Ranchi,Dental College, Rajendra Institute of Medical Sciences, Bariatu, Ranchi, Jharkhand, 843009",BDS,Open,EWS,Allotted,7
2022,MOPUP,MCC,AIQ,50397,50397,AIR,All India,"RUHS College of Dental Science, Jaipur,Ruhs College of dental science , johtwara road jaipur, Rajasthan, 302016",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,50656,50656,AIR,All India,"Government Dental College & Hospital, Srinagar,Shireen Bagh Karan Nagar Srinagar Jammu and Kashmir India, Jammu And Kashmir, 190010",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,50665,50665,AIR,All India,"GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK,Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",BDS,Open,EWS,Allotted,7
2022,MOPUP,MCC,AIQ,50829,50829,AIR,All India,"GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK,Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,50932,50932,AIR,All India,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN. PURBA BARDHAMAN. W.B- 713101",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,50984,50984,AIR,All India,"GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK,Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,51255,51255,AIR,All India,"PB. GOVT. DENTAL COLLEGE & HOSP,AMRITSAR,Majitha Road,Amritsar, Punjab, 143001",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,51655,51655,AIR,All India,"GOVT. DENTAL COLL.& HOSP., JAMNAGAR,Opp. City Police Line, Navagam Ghed, Jamnagar, Gujarat, 361008",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,51979,51979,AIR,All India,"GOVT. DENTAL COLLEGE & HOSP,AHMEDABAD,NEW CIVIL HOSPITAL CAMPUS, ASARWA, AHMEDABAD, Gujarat, 380016",BDS,EWS,EWS,Allotted,7
2022,MOPUP,MCC,AIQ,52244,52244,AIR,All India,"GOVT. DENTAL COLLEGE & HOSP.,NAGPUR,Government Dental College And Hospital GMC Campus Nagpur, Maharashtra, 440003",BDS,Open,EWS,Allotted,7
2022,MOPUP,MCC,AIQ,52313,52313,AIR,All India,"DC, RIMS, Imphal,PO Lamphelpat, Imphal West District, Manipur, 795004",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,52651,52651,AIR,All India,"GOVT. DENTAL COLLEGE, SHIMLA,HP GOVERNMENT DENTAL COLLEGE AND HOSPITAL SHIMLA",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,52684,52684,AIR,All India,"Government Dental College and Hospital, Vijayawada,Government Dental College and Hospital, Machavaram Post, Vijayawada - 520004, Andhra Pradesh, 520004",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,52707,52707,AIR,All India,"TAMILNADU GOVT D.C. & HOSP, CHENNAI,No. 1, TNPSC SALAI, PARK TOWN, CHENNAI 600003, Tamil Nadu, 600003",BDS,Open,EWS,Allotted,7
2022,MOPUP,MCC,AIQ,52986,52986,AIR,All India,"GOVT. DENTAL COLLEGE & HOSP.,MUMBAI,St Georges Hospital Compound P D Mellow road Fort Mumbai, Maharashtra, 400001",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,53109,53109,AIR,All India,"DC, RIMS, Imphal,PO Lamphelpat, Imphal West District, Manipur, 795004",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,53171,53171,AIR,All India,"GOVT. DENTAL COLLEGE & HOSP.,MUMBAI,St Georges Hospital Compound P D Mellow road Fort Mumbai, Maharashtra, 400001",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,53553,53553,AIR,All India,"GOVT. DENTAL COLLEGE & HOSP.,NAGPUR,Government Dental College And Hospital GMC Campus Nagpur, Maharashtra, 440003",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,54181,54181,AIR,All India,"GOA DENTAL COLLEGE & HOSPITAL, GOA,Bambolim,Goa, Goa, 403202",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,54265,54265,AIR,All India,"GOA DENTAL COLLEGE & HOSPITAL, GOA,Bambolim,Goa, Goa, 403202",BDS,Open,GN,Allotted,7
2022,MOPUP,MCC,AIQ,54434,54434,AIR,All India,"GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK,Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,54745,54745,AIR,All India,"GOVT. DENTAL COLLEGE, SHIMLA,HP GOVERNMENT DENTAL COLLEGE AND HOSPITAL SHIMLA",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,54762,54762,AIR,All India,"Indira Gandhi Govt. Dental College, Jammu,Indira Gandhi Govt. Dental College, Rehari Chungi, Jammu, Jammu And Kashmir, 180005",BDS,Open,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,55321,55321,AIR,All India,"M.G.D.C. & HOSPITAL, PUDUCHERRY,GOVT. OF PUDUCHERRY INSTITUTION, GORIMEDU, PONDICHERRY, Puducherry, 605006",BDS,Open,EWS,Allotted,7
2022,MOPUP,MCC,AIQ,55536,55536,AIR,All India,"GOVT. DENTAL COLLEGE, RAIPUR,Near Marahi Mata Mandir, Rajbandha Maidan, Raipur (C.G.), Chhattisgarh, 492001",BDS,Open,EWS,Allotted,7
2022,MOPUP,MCC,AIQ,56016,56016,AIR,All India,"Dental Institue, RIMS, Ranchi,Dental College, Rajendra Institute of Medical Sciences, Bariatu, Ranchi, Jharkhand, 843009",BDS,OBC,OBC,Allotted,7
2022,MOPUP,MCC,AIQ,56094,56094,AIR,All India,"GOVT. DENTAL COLL.& HOSP., JAMNAGAR,Opp. City Police Line, Navagam Ghed, Jamnagar, Gujarat, 361008",BDS,OBC,OBC,Allotted,7
