year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,status,source_id
2023,STRAY,MCC,AIQ,3849,3849,AIR,All India,"Gandhi Medical College Musheerabad Secunderabad,MUSHEERABAD, SECUNDERABAD, Telangana, 500003",MBBS,Open,General,Allotted,14
2023,STRAY,MCC,AIQ,5505,5505,AIR,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY, ALIGARH, Uttar Pradesh, 202002",MBBS,Open,General,Allotted,14
2023,STRAY,MCC,AIQ,6184,6184,AIR,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY, ALIGARH, Uttar Pradesh, 202002",MBBS,Open,OBC,Allotted,14
2023,STRAY,MCC,AIQ,6373,6373,AIR,Open Seat Quota,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open,EWS,Allotted,14
2023,STRAY,MCC,AIQ,6478,6478,AIR,Open Seat Quota,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open,General,Allotted,14
2023,STRAY,MCC,AIQ,6901,6901,AIR,Open Seat Quota,"AIIMS, Rai Bareli ,All India Institute of Medical Sciences Raebareli, Uttar Pradesh, 229405",MBBS,Open,OBC,Allotted,14
2023,STRAY,MCC,AIQ,6953,6953,AIR,Open Seat Quota,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open,General,Allotted,14
2023,STRAY,MCC,AIQ,7123,7123,AIR,Open Seat Quota,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,OBC,OBC,Allotted,14
2023,STRAY,MCC,AIQ,7155,7155,AIR,Open Seat Quota,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open,General,Allotted,14
2023,STRAY,MCC,AIQ,7199,7199,AIR,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,OBC,Allotted,14
