year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,status,source_id
2025,R3,MCC,AIQ,393,393,AIR,All India,"GOVT. MEDICAL COLLEGE,PATIALA,Sangrur road Government Medical College, Patiala, Punjab, 147001",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,430,430,AIR,Open Seat Quota,"AIIMS, Patna,Phulwarisharif, Patna, Bihar-801507, Bihar, 801507",MBBS,Open,OBC,Upgraded,0
2025,R3,MCC,AIQ,772,772,AIR,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH Uttarakhand - 249203, Uttarakhand, 249203",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,785,785,AIR,Open Seat Quota,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019, Odisha, 751019",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,794,794,AIR,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH Uttarakhand - 249203, Uttarakhand, 249203",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,816,816,AIR,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH Uttarakhand - 249203, Uttarakhand, 249203",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,893,893,AIR,Open Seat Quota,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1030,1030,AIR,Open Seat Quota,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1044,1044,AIR,All India,"Dr. B.S.A. Medical College, Delhi,DR.BABA SAHEB AMBEDKAR MEDICAL COLLEGE AND HOSPITAL, ROHINI SEC-6, DELHI- 110085, Delhi (NCT), 110085",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1125,1125,AIR,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001",MBBS,OBC,OBC,Upgraded,0
2025,R3,MCC,AIQ,1277,1277,AIR,All India,"MADURAI MEDICAL COLLEGE, MADURAI,PANAGAL ROAD MADURAI, Tamil Nadu, 625020",MBBS,Open,OBC,Allotted,0
2025,R3,MCC,AIQ,1321,1321,AIR,Open Seat Quota,"AIIMS, Patna,Phulwarisharif, Patna, Bihar-801507, Bihar, 801507",MBBS,Open,SC,Allotted,0
2025,R3,MCC,AIQ,1328,1328,AIR,Open Seat Quota,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1484,1484,AIR,Open Seat Quota,"INST.OF MED.SCIENCES, BHU,VARANASI,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 211005",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1549,1549,AIR,All India,"Bangalore Medical College and Research Institute,K R ROAD FORT BENGALURU, Karnataka, 560002",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1643,1643,AIR,Open Seat Quota,"INST.OF MED.SCIENCES, BHU,VARANASI,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 211005",MBBS,Open,General,Allotted,0
2025,R3,MCC,AIQ,1649,1649,AIR,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1650,1650,AIR,Open Seat Quota,"INST.OF MED.SCIENCES, BHU,VARANASI,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 211005",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1709,1709,AIR,Open Seat Quota,"INST.OF MED.SCIENCES, BHU,VARANASI,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 211005",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1715,1715,AIR,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH Uttarakhand - 249203, Uttarakhand, 249203",MBBS,EWS,EWS,Allotted,0
2025,R3,MCC,AIQ,1806,1806,AIR,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1836,1836,AIR,All India,"Maulana Azad Institute of Dental Sciences, New Delhi,MAMC Complex, B.S. Zafar Marg, New Delhi, Delhi (NCT), 110002",BDS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1870,1870,AIR,All India,"KGMC, LUCKNOW,SHAHMINA ROAD, CHOWK, LUCKNOW, Uttar Pradesh, 226003",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1874,1874,AIR,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1939,1939,AIR,Open Seat Quota,"AIIMS, Patna,Phulwarisharif, Patna, Bihar-801507, Bihar, 801507",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,1952,1952,AIR,All India,"Gandhi Medical College Musheerabad Secunderabad,MUSHEERABA D, SECUNDERABAD, Telangana, 500003",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,2023,2023,AIR,Open Seat Quota,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,EWS,EWS,Upgraded,0
2025,R3,MCC,AIQ,2052,2052,AIR,All India,"S.C.B. MEDICAL COLLEGE, CUTTACK,Mangalabag, Cuttack, Odisha, 753007",MBBS,Open,General,Allotted,0
2025,R3,MCC,AIQ,2106,2106,AIR,All India,"University College of Medical Sciences, New Delhi,Dilshad Garden, Delhi (NCT), 110095",MBBS,OBC,OBC,Upgraded,0
2025,R3,MCC,AIQ,2117,2117,AIR,Open Seat Quota,"AIIMS, Patna,Phulwarisharif, Patna, Bihar-801507, Bihar, 801507",MBBS,OBC,OBC,Upgraded,0
2025,R3,MCC,AIQ,2227,2227,AIR,Open Seat Quota,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,2229,2229,AIR,Open Seat Quota,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open,OBC,Upgraded,0
2025,R3,MCC,AIQ,2361,2361,AIR,All India,"GAJRA RAJA MEDICAL COLLEGE, GWALIOR,VEER SAVARKAR ROAD, GWALIOR, Madhya Pradesh, 474009",MBBS,Open,OBC,Upgraded,0
2025,R3,MCC,AIQ,2419,2419,AIR,All India,"B.J. MEDICAL COLLEGE, AHMEDABAD,B.J. Medical College, New Civil Hospital Campus, Asarwa, Ahmedabad 380016, Gujarat, 380016",MBBS,OBC,OBC,Upgraded,0
2025,R3,MCC,AIQ,2463,2463,AIR,Open Seat Quota,"INST.OF MED.SCIENCES, BHU,VARANASI,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 211005",MBBS,OBC,OBC,Upgraded,0
2025,R3,MCC,AIQ,2482,2482,AIR,Open Seat Quota,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,OBC,OBC,Upgraded,0
2025,R3,MCC,AIQ,2519,2519,AIR,Open Seat Quota,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,2531,2531,AIR,All India,"S.M.S. MEDICAL COLLEGE, JAIPUR,JLN Marg, Jaipur, Rajasthan, 302004",MBBS,Open,OBC,Upgraded,0
2025,R3,MCC,AIQ,2578,2578,AIR,Open Seat Quota,"AIIMS, Patna,Phulwarisharif, Patna, Bihar-801507, Bihar, 801507",MBBS,OBC,OBC,Upgraded,0
2025,R3,MCC,AIQ,2588,2588,AIR,All India,"KGMC, LUCKNOW,SHAHMINA ROAD, CHOWK, LUCKNOW, Uttar Pradesh, 226003",MBBS,Open,General,Allotted,0
2025,R3,MCC,AIQ,2602,2602,AIR,Open Seat Quota,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,2620,2620,AIR,Open Seat Quota,"INST.OF MED.SCIENCES, BHU,VARANASI,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 211005",MBBS,OBC,OBC,Upgraded,0
2025,R3,MCC,AIQ,2632,2632,AIR,Open Seat Quota,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open,General,Allotted,0
2025,R3,MCC,AIQ,2637,2637,AIR,All India,"GOVT.MEDICAL COLLEGE, KOTA,Rangbari Road Kota, Rajasthan, 324005",MBBS,Open,General,Allotted,0
2025,R3,MCC,AIQ,2705,2705,AIR,Open Seat Quota,"AIIMS, Patna,Phulwarisharif, Patna, Bihar-801507, Bihar, 801507",MBBS,OBC,OBC,Upgraded,0
2025,R3,MCC,AIQ,2780,2780,AIR,Open Seat Quota,"AIIMS, Rai Bareli ,All India Institute of Medical Sciences Raebareli, Uttar Pradesh, 229405",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,2788,2788,AIR,Open Seat Quota,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,2843,2843,AIR,Open Seat Quota,"AIIMS Rajkot,Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open,General,Allotted,0
2025,R3,MCC,AIQ,2866,2866,AIR,Open Seat Quota,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,EWS,EWS,Upgraded,0
2025,R3,MCC,AIQ,2899,2899,AIR,All India,"LOKMANYA TILAK MUNICIPAL M C,MUMBAI,Dr. Babasaheb Ambedkar Road, Sion, Mumbai, Maharashtra, 400022",MBBS,Open,General,Allotted,0
2025,R3,MCC,AIQ,2909,2909,AIR,All India,"Gandhi Medical College Musheerabad Secunderabad,MUSHEERABA D, SECUNDERABAD, Telangana, 500003",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,2932,2932,AIR,All India,"NDMC Medical College, Delhi,North Delhi Municipal Corporation Medical College and Hindu Rao Hospital, Malka Ganj, Delhi (NCT), 110007",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,2936,2936,AIR,Open Seat Quota,"AIIMS Rajkot,Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open,General,Upgraded,0
2025,R3,MCC,AIQ,2986,2986,AIR,All India,"NDMC Medical College, Delhi,North Delhi Municipal Corporation Medical College and Hindu Rao Hospital, Malka Ganj, Delhi (NCT), 110007",MBBS,Open,General,Upgraded,0
