neet_roll_no,neet_score,neet_ai_rank,category,hk,karnataka
2703005559,703,55,General Merit,Yes,Yes
2705007519,700,85,Category-1,Yes,Yes
2702307061,697,113,Category-2A,No,Yes
2708205138,695,148,Category-3B,No,Yes
2707001073,691,224,General Merit,No,Yes
2701009287,691,235,Category-2A,No,Yes
2702324016,686,365,General Merit,No,Yes
2702304241,686,375,General Merit,No,Yes
2702315030,685,399,Category-1,No,Yes
2707004179,685,440,Category-3A,No,Yes
2702102527,683,491,Category-2B,No,Yes
2708107137,681,537,Category-3A,No,Yes
2703007035,681,541,Category-3B,Yes,Yes
2702123062,681,551,General Merit,No,Yes
2708206097,681,583,General Merit,No,Yes
2701007334,680,666,General Merit,No,Yes
2702304297,676,816,General Merit,No,Yes
2702228212,676,861,General Merit,No,Yes
2703011220,675,892,Category-3B,No,Yes
2702301496,675,900,General Merit,No,Yes
2707002518,675,906,Category-3B,No,Yes
2709003280,675,911,General Merit,No,Yes
2702106111,675,934,General Merit,No,Yes
2706010225,675,979,General Merit,No,Yes
2702307631,675,993,General Merit,No,Yes
2706036160,673,1033,Category-2A,Yes,Yes
2707001177,672,1060,General Merit,No,Yes
2708117031,671,1094,General Merit,No,Yes
2702216303,671,1138,General Merit,No,Yes
2702216257,670,1219,General Merit,No,Yes
2702304566,670,1225,General Merit,No,Yes
2707003482,670,1233,General Merit,Yes,Yes
2702109417,670,1365,Category-2B,No,Yes
2702116166,668,1399,Category-3A,No,Yes
2708215107,666,1519,General Merit,No,Yes
2702301843,666,1538,General Merit,No,Yes
2703001485,666,1545,General Merit,No,Yes
2702321058,666,1566,General Merit,No,Yes
2702310113,665,1668,Category-3A,No,Yes
2702115195,665,1735,General Merit,No,Yes
2705022260,665,1749,Category-2B,Yes,Yes
2705023062,665,1753,Category-1,Yes,Yes
2702121094,665,1770,General Merit,No,Yes
2701020203,663,1884,Category-2A,No,Yes
2707001655,663,1906,General Merit,No,Yes
2702212310,662,1926,General Merit,No,Yes
2701003357,662,1942,General Merit,No,Yes
2702305486,661,2020,General Merit,No,Yes
2708104336,661,2040,General Merit,No,Yes
2707002035,661,2075,Category-3B,No,Yes
2702306153,661,2111,General Merit,No,Yes
2703028213,661,2129,Category-2A,No,Yes
2705015266,661,2130,General Merit,Yes,Yes
2702216373,661,2176,General Merit,No,Yes
2709004227,660,2243,General Merit,No,Yes
2702224292,660,2309,General Merit,No,Yes
2702310128,660,2351,Category-3A,No,Yes
2702312153,660,2355,General Merit,No,Yes
2707007286,660,2390,General Merit,No,Yes
2702308640,659,2464,Category-3B,No,Yes
2708115029,658,2527,Category-3A,No,Yes
2702101209,657,2570,General Merit,No,Yes
2707007439,656,2709,Category-2A,No,Yes
2702304319,656,2717,General Merit,No,Yes
2705006086,656,2738,Category-2B,Yes,Yes
2703002553,656,2791,,No,Yes
2703014225,656,2852,General Merit,No,Yes
2708106164,656,2864,General Merit,No,Yes
2708111164,655,2893,Category-3B,No,Yes
2702220015,655,2943,General Merit,Yes,Yes
2702313360,655,2950,Category-3A,No,Yes
2708102438,655,2987,Category-3A,No,Yes
2702108594,655,3001,General Merit,No,Yes
2708209264,655,3037,Category-2B,No,Yes
2702104421,655,3064,General Merit,No,Yes
2703028242,655,3082,Category-3B,No,Yes
2708207036,654,3160,Category-3A,No,Yes
2702108003,654,3216,General Merit,No,Yes
2707001594,653,3218,General Merit,No,Yes
2702227037,653,3320,General Merit,No,Yes
2702303382,653,3330,Category-3A,No,Yes
2705011313,652,3371,Category-3B,Yes,Yes
2707005253,652,3394,Category-2B,No,Yes
2702212042,652,3410,General Merit,No,Yes
2707004083,652,3437,General Merit,No,Yes
2703018126,652,3450,General Merit,No,Yes
2708205071,651,3508,Category-2A,No,Yes
2703028044,651,3532,Category-1,No,Yes
2702216100,651,3539,General Merit,No,Yes
2703012165,651,3606,Category-3B,No,Yes
2702303010,651,3697,Category-2B,No,Yes
2705044002,650,3744,General Merit,Yes,Yes
2708205028,650,3789,General Merit,No,Yes
2702115283,650,3846,Category-3A,No,Yes
2708207189,650,3854,Category-2A,No,Yes
2707005363,650,3865,General Merit,No,Yes
2702202340,650,3899,Category-3A,No,Yes
2707002506,650,3924,General Merit,No,Yes
2702213434,650,3946,General Merit,No,Yes
2702320050,650,4004,General Merit,No,Yes
2703017107,649,4041,General Merit,No,Yes
2702213239,649,4107,General Merit,No,Yes
