neet_score,neet_ai_rank
715,10
710,30
705,56
705,66
705,104
623,105
622,110
622,112
617,130
700,162
610,164
609,168
700,169
608,173
700,177
607,181
606,187
599,238
597,252
695,253
594,282
695,296
591,307
695,307
695,310
591,313
695,313
590,319
587,363
586,377
691,385
691,386
585,389
691,396
690,423
579,451
690,453
577,475
575,488
574,500
574,507
687,542
687,547
569,562
565,616
685,624
564,629
563,638
685,646
685,647
685,665
558,694
685,704
685,705
685,714
682,768
552,779
682,784
681,795
681,807
546,844
546,846
680,879
680,883
680,912
680,917
541,920
680,937
680,939
680,953
679,981
535,1002
678,1007
534,1020
677,1045
677,1046
677,1049
677,1067
530,1082
677,1086
677,1092
529,1094
528,1114
526,1137
676,1148
676,1151
676,1158
524,1168
675,1176
523,1195
675,1231
519,1250
518,1257
675,1264
675,1278
675,1282
516,1295
675,1301
675,1304
675,1311
514,1327
674,1327
673,1389
673,1390
508,1400
672,1429
672,1430
506,1432
672,1435
672,1445
671,1498
502,1511
671,1523
500,1540
671,1546
670,1551
670,1562
499,1566
670,1575
670,1577
498,1583
498,1587
670,1602
670,1636
670,1659
492,1683
492,1690
492,1697
491,1706
669,1745
668,1798
486,1804
667,1811
667,1828
484,1834
667,1842
483,1854
667,1878
667,1879
482,1879
667,1883
480,1908
666,1916
479,1924
666,1926
666,1927
666,1961
666,1968
476,1980
476,1985
476,1989
476,1992
666,1997
665,2039
472,2060
665,2077
665,2119
665,2122
665,2138
665,2149
467,2159
466,2167
665,2176
665,2177
665,2181
665,2183
664,2198
664,2235
462,2244
664,2250
461,2262
663,2278
460,2284
460,2288
663,2297
663,2309
458,2309
458,2316
662,2361
662,2376
455,2382
661,2431
661,2433
451,2433
451,2440
661,2461
449,2473
449,2480
448,2501
661,2506
447,2514
445,2550
661,2556
660,2575
443,2587
443,2589
443,2595
443,2598
660,2613
441,2623
660,2627
440,2642
660,2657
660,2658
437,2700
660,2714
435,2736
434,2744
660,2753
660,2754
432,2787
659,2794
432,2796
659,2809
658,2825
658,2831
658,2840
658,2856
658,2871
658,2880
658,2892
426,2906
657,2957
657,2963
423,2964
657,2966
657,2986
421,2993
657,2994
657,3001
420,3018
420,3020
420,3028
419,3043
656,3064
656,3068
416,3093
416,3108
415,3125
414,3130
656,3141
656,3155
413,3164
656,3177
656,3189
410,3204
655,3241
655,3252
655,3253
407,3269
407,3273
655,3284
406,3291
655,3297
404,3340
403,3342
655,3354
400,3392
400,3394
655,3395
400,3396
400,3406
654,3450
654,3455
654,3476
654,3478
654,3493
654,3495
654,3496
393,3516
391,3545
389,3586
388,3614
652,3617
652,3622
387,3627
385,3670
652,3672
384,3679
652,3684
383,3707
381,3727
381,3731
381,3736
651,3764
379,3765
651,3782
378,3797
377,3809
651,3810
651,3847
651,3872
651,3876
651,3891
651,3912
371,3914
650,3923
650,3929
370,3930
650,3935
650,3939
369,3940
650,3957
650,3969
650,3989
650,4013
365,4022
650,4024
364,4040
650,4041
650,4069
360,4099
359,4119
650,4119
650,4127
359,4132
650,4140
650,4149
650,4156
356,4177
649,4197
649,4229
353,4230
649,4244
649,4259
350,4290
349,4296
348,4311
648,4329
344,4377
344,4386
647,4415
342,4421
340,4455
647,4470
339,4477
337,4511
647,4531
335,4538
333,4586
332,4608
646,4614
329,4646
646,4652
646,4655
328,4662
327,4673
646,4707
646,4718
646,4741
321,4786
645,4805
319,4819
645,4875
645,4888
315,4892
645,4896
645,4897
645,4914
314,4914
313,4916
311,4963
645,4968
645,4973
645,4978
309,4982
645,4985
307,5017
645,5024
306,5030
306,5032
644,5046
644,5057
305,5062
644,5091
644,5116
644,5132
644,5150
644,5155
643,5193
643,5206
294,5227
643,5245
291,5259
643,5279
643,5309
643,5328
643,5342
284,5351
642,5359
642,5362
642,5437
642,5451
642,5487
642,5510
266,5609
266,5611
265,5623
641,5624
263,5645
262,5667
641,5697
